桜色	#fef4f4
土器色	#c37854
榛色	#bfa46f
月白	#eaf4fc
葡萄鼠	#705b67
梅鼠	#c099a0
狐色	#c38743
灰汁色	#9e9478
白菫色	#eaedf7
濃色	#634950
鴇浅葱	#b88884
黄土色	#c39143
利休茶	#a59564
白花色	#e8ecef
紫鳶	#5f414b
梅染	#b48a76
琥珀色	#bf783a
鶯茶	#715c1f
藍白	#ebf6f7
濃鼠	#4f455c
蘇芳香	#a86965
赤茶	#bb5535
木蘭色	#c7b370
白藍	#c1e4e9
藤煤竹	#5a5359
浅蘇芳	#a25768
代赭	#bb5520
砂色	#dcd3b2
水色	#bce2e8
滅紫	#594255
真朱	#ec6d71
煉瓦色	#b55233
油色	#a19361
瓶覗	#a2d7dd
紅消鼠	#524748
赤紫	#eb6ea5
雀茶	#aa4f37
利休色	#8f8667
秘色色	#abced8
似せ紫	#513743
躑躅色	#e95295
団十郎茶	#9f563a
梅幸茶	#887938
空色	#a0d8ef
灰黄緑	#e6eae3
牡丹色	#e7609e
柿渋色	#9f563a
璃寛茶	#6a5d21
勿忘草色	#89c3eb
蕎麦切色	#d4dcd6
今様色	#d0576b
紅鳶	#9a493f
黄海松茶	#918754
青藤色	#84a2d4
薄雲鼠	#d4dcda
中紅	#c85179
灰茶	#98623c
菜種油色	#a69425
白群	#83ccd2
枯野色	#d3cbc6
薔薇色	#e9546b
茶色	#965042
青朽葉	#ada250
浅縹	#84b9cb
潤色	#c8c2be
韓紅	#e95464
檜皮色	#965036
根岸色	#938b4b
薄花色	#698aab
利休白茶	#b3ada0
銀朱	#c85554
鳶色	#95483f
鶸茶	#8c8861
納戸色	#008899
茶鼠	#a99e93
赤紅	#c53d43
柿茶	#954e2a
柳茶	#a1a46d
浅葱色	#00a3af
胡桃染	#a58f86
紅緋	#e83929
弁柄色	#8f2e14
海松色	#726d40
花浅葱	#2a83a2
江戸鼠	#928178
赤	#e60033
赤錆色	#8a3319
鶯色	#928c36
新橋色	#59b9c6
煤色	#887f7a
猩々緋	#e2041b
褐色	#8a3b00
緑黄色	#dccb18
天色	#2ca9e1
丁子茶	#b4866b
紅	#d7003a
栗梅	#852e19
鶸色	#d7cf3a
露草色	#38a1db
柴染	#b28c6e
深緋	#c9171e
紅檜皮	#7b4741
抹茶色	#c5c56a
青	#0095d9
宗伝唐茶	#a16d5d
緋色	#d3381c
海老茶	#773c30
若草色	#c3d825
薄藍	#0094c8
砺茶	#9f6f55
赤丹	#ce5242
唐茶	#783c1d
黄緑	#b8d200
縹色	#2792c3
煎茶色	#8c6450
紅赤	#d9333f
栗色	#762f07
若芽色	#e0ebaf
紺碧	#007bbb
銀煤竹	#856859
臙脂	#b94047
赤銅色	#752100
若菜色	#d8e698
薄群青	#5383c3
黄枯茶	#765c47
朱・緋	#ba2636
錆色	#6c3524
若苗色	#c7dc68
薄花桜	#5a79ba
煤竹色	#6f514c
茜色	#b7282e
赤褐色	#683f36
青丹	#99ab4e
群青色	#4c6cb3
焦茶	#6f4b3e
紅海老茶	#a73836
茶褐色	#664032
草色	#7b8d42
杜若色	#3e62ad
黒橡	#544a47
蘇芳	#9e3d3f
栗皮茶	#6d3c32
苔色	#69821b
瑠璃色	#1e50a2
憲法色	#543f32
真紅	#a22041
黒茶	#583822
萌黄	#aacf53
薄縹	#507ea4
涅色	#554738
濃紅	#a22041
葡萄茶	#6c2c2f
苗色	#b0ca71
瑠璃紺	#19448e
檳榔子染	#433d3c
象牙色	#f8f4e6
葡萄色	#640125
若葉色	#b9d08b
紺瑠璃	#164a84
黒鳶	#432f2f
練色	#ede4cd
萱草色	#f8b862
松葉色	#839b5c
藍色	#165e83
赤墨	#3f312b
灰白色	#e9e4d4
柑子色	#f6ad49
夏虫色	#cee4ae
青藍	#274a78
黒紅	#302833
蒸栗色	#ebe1a9
金茶	#f39800
鶸萌黄	#82ae46
深縹	#2a4073
白	#ffffff
女郎花	#f2f2b0
蜜柑色	#f08300
柳色	#a8c97f
紺色	#223a70
胡粉色	#fffffc
枯草色	#e4dc8a
鉛丹色	#ec6d51
青白橡	#9ba88d
紺青	#192f60
卯の花色	#f7fcfe
淡黄	#f8e58c
黄丹	#ee7948
柳鼠	#c8d5bb
留紺	#1c305c
白磁	#f8fbf8
白茶	#ddbb99
柿色	#ed6d3d
裏葉柳	#c1d8ac
濃藍	#0f2350
生成り色	#fbfaf5
赤白橡	#d7a98c
黄赤	#ec6800
山葵色	#a8bf93
鉄紺	#17184b
乳白色	#f3f3f3
洗柿	#f2c9ac
人参色	#ec6800
老竹色	#769164
漆黒	#0d0015
白練	#f3f3f2
鳥の子色	#fff1cf
橙色	#ee7800
白緑	#d6e9ca
淡藤色	#bbc8e6
素色	#eae5e3
蜂蜜色	#fddea5
照柿	#eb6238
淡萌黄	#93ca76
藤色	#bbbcde
白梅鼠	#e5e4e6
肌色	#fce2c4
赤橙	#ea5506
柳染	#93b881
紅掛空色	#8491c3
白鼠	#dcdddd
薄卵色	#fde8d0
金赤	#ea5506
薄萌葱	#badcad
紅碧	#8491c3
絹鼠	#dddcd6
雄黄	#f9c89b
朱色	#eb6101
深川鼠	#97a791
紺桔梗	#4d5aaf
灰青	#c0c6c9
洒落柿	#f7bd8f
小麦色	#e49e61
若緑	#98d98e
花色	#4d5aaf
銀鼠	#afafb0
赤香	#f6b894
丹色	#e45e32
浅緑	#88cb7f
紺藍	#4a488e
薄鈍	#adadad
砥粉色	#f4dda5
黄茶	#e17b34
薄緑	#69b076
紅桔梗	#4d4398
薄墨色	#a3a3a2
肉色	#f1bf99
肉桂色	#dd7a56
青鈍	#6b7b6e
桔梗色	#5654a2
錫色	#9ea1a3
人色	#f1bf99
赤朽葉色	#db8449
青磁鼠	#bed2c3
藤納戸	#706caa
素鼠	#9fa0a0
丁子色	#efcd9a
黄櫨染	#d66a35
薄青	#93b69c
紅掛花色	#68699b
鼠色	#949495
香色	#efcd9a
蒲公英色	#ffd900
錆青磁	#a6c8b2
紫苑色	#867ba9
源氏鼠	#888084
薄香	#f0cfa0
黄色	#ffd900
緑青色	#47885e
白藤色	#dbd0e6
灰色	#7d7d7d
浅黄	#edd3a1
中黄	#ffea00
千歳緑	#316745
藤紫	#a59aca
鉛色	#7b7c7d
枯色	#e0c38c
菜の花色	#ffec47
若竹色	#68be8d
菫色	#7058a3
鈍色	#727171
淡香	#f3bf88
黄檗色	#fef263
緑	#3eb370
青紫	#674598
墨	#595857
杏色	#f7b977
卵色	#fcd575
常磐色	#007b43
菖蒲色	#674196
丼鼠	#595455
東雲色	#f19072
花葉色	#fbd26b
千草鼠	#bed3ca
竜胆色	#9079ad
消炭色	#524e4d
曙色	#f19072
刈安色	#f5e56b
千草色	#92b5a9
江戸紫	#745399
藍墨茶	#474a4d
珊瑚朱色	#ee836f
玉蜀黍色	#eec362
青磁色	#7ebea5
本紫	#65318e
羊羹色	#383c3c
深支子	#eb9b6f
金糸雀色	#ebd842
青竹色	#7ebeab
葡萄色	#522f60
蝋色	#2b2b2b
纁	#e0815e
黄支子色	#ffdb4f
常磐緑	#028760
深紫	#493759
黒	#2b2b2b
浅緋	#df7163
支子色	#fbca4d
木賊色	#3b7960
紫黒	#2e2930
烏羽色	#180614
真赭	#d57c6b
向日葵色	#fcc800
天鵞絨	#2f5d50
紫	#884898
鉄黒	#281a14
洗朱	#d0826c
山吹色	#f8b500
虫襖	#3a5b52
薄葡萄	#c0a2c7
濡羽色	#000b00
遠州茶	#ca8269
鬱金色	#fabf14
革色	#475950
紫紺	#460e44
黒檀	#250d00
紅樺色	#bb5548
藤黄	#f7c114
深緑	#00552e
暗紅色	#74325c
憲法黒茶	#241a08
赭	#ab6953
金色	#e6b422
鉄色	#005243
桑の実色	#55295b
暗黒色	#16160e
コーラルレッド	#ef857d
サンシャインイエロー	#ffedab
アイスグリーン	#a3d6cc
ウイスタリア	#8d93c8
ピンクアーモンド	#e3acae
ポピーレッド	#ea5550
クリームイエロー	#fff3b8
ターコイズグリーン	#00947a
ブルーラベンダー	#a4a8d4
ローズダスト	#e6c0c0
レッド	#ea5550
ネープルスイエロー	#fdd35c
シーグリーン	#00ac97
パンジー	#4d4398
ホワイト	#ffffff
トマトレッド	#ea5549
トパーズ	#e9bc00
ペパーミントグリーン	#00ac9a
バイオレット	#5a4498
スノーホワイト	#fafdff
バーミリオン	#ea553a
クロムイエロー	#fcc800
ピーコックグリーン  #00a497
ヘリオトロープ	#9079b6
ピンクホワイト	#fef9fb
スカーレット	#ea5532
クリーム	#e3d7a3
ナイルブルー	#2cb4ad
ディープロイヤルパープル	#47266e
ミルキーホワイト	#fffff9
キャロットオレンジ	#ed6d35
ストロー	#ece093
サックスブルー	#418b89
グレープ	#56256e
アンバーホワイト	#fff9f5
チャイニーズレッド	#ed6d46
ジャスミンイエロー	#edde7b
スレートグリーン	#3c7170
モーブ	#915da3
ラベンダーアイス	#f7f6fb
テラコッタ	#bd6856
アンティックゴールド	#c1ab05
テールグリーン	#006a6c
アイリス	#c7a5cc
パールホワイト	#f7f6f5
ココアブラウン	#98605e
オリーブ	#72640c
アクアグリーン	#88bfbf
ライラック	#d1bada
アイボリー	#f8f4e6
マホガニー	#6b3f31
オリーブドラブ	#665a1a
アクアマリン	#67b5b7
ラベンダー	#cab8d9
パウダーピンク	#f5ecf4
チョコレート	#6c3524
ジョンブリアン	#ffdc00
ピーコックブルー	#009e9f
クロッカス	#b79fcb
シルバーホワイト	#efefef
マルーン	#6a1917
イエロー	#ffdc00
ターコイズ	#009b9f
ラベンダーモーブ	#a688bd
フロスティグレイ	#e8ece9
セピア	#622d18
シトラス	#eddc44
カプリブルー	#00a3a7
パープル	#9b72b0
シルバーピンク	#eeeaec
コーヒー色	#7b5544
ライムライト	#fff799
ケンブリッジブルー	#25b7c0
ロイヤルパープル	#7f1184
ベージュカメオ	#eee9e6
ブラウン	#8f6552
カナリヤ	#fff462
ターコイズブルー	#00afcc
レーズン	#6b395f
エクリュ	#eee7e0
バーントシェンナ	#bb5535
ミモザ	#fff462
ホライズンブルー	#82cddd
プラム	#6c2463
ピンクベージュ	#ede4e1
アンバーローズ	#e6bfb2
レモンイエロー	#fff352
サマーシャワー	#a1d8e2
ラズベリー	#841a75
フロスティホワイト	#e6eae6
ベージュローゼ	#e8d3ca
メロンイエロー	#e0de94
ホリゾンブルー	#a1d8e6
フランボワーズ	#9a0d7c
オイスターホワイト	#eae8e1
サーモンピンク	#f3a68c
シャルトルーズイエロー	#e3e548
セルリアンブルー	#008db7
ダリアパープル	#a50082
ウィステリアミスト	#d3d6dd
サハラ	#e29676
ライムイエロー	#eaeea2
ダックブルー	#007199
オーキッドパープル	#af0082
クラウド	#d4d9df
アッシュローズ	#e6bfab
ライムグリーン	#e6eb94
マリンブルー	#006888
ラズベリーレッド	#9f166a
ムーングレイ	#d4d9dc
シェルピンク	#fbdac8
シャトルーズグリーン	#d9e367
マドンナブルー	#00608d
オーキッド	#d9aacd
チャイナクレイ	#d4dcd3
ベビーピンク	#fdede4
レタスグリーン	#d1de4c
エジプシャンブルー	#0073a8
リラ	#e0b5d3
サンドベージュ	#dcd6d2
ネールピンク	#fce4d6
オリーブグリーン	#5f6527
ベビーブルー	#bbe2f1
ローズタンドル	#e6afcf
オーキッドミスト	#d3d3d8
ローシェンナ	#e17b34
モスグリーン	#777e41
スカイブルー	#a0d8ef
オーキッドピンク	#da81b2
リードグレイ	#d4d9d6
キャラメル	#bc611e
グラスグリーン	#7b8d42
シャドウブルー	#719bad
シクラメンピンク	#d04f97
スカイグレイ	#cbd0d3
サンセット	#f6b483
スプリンググリーン	#9cbb1c
シアン	#00a1e9
マゼンタ	#e4007f
ラベンダーグレイ	#bcbace
シナモン	#be8f68
リーフグリーン	#9fc24d
ヨットブルー	#409ecc
ブーゲンビリア	#e62f8b
シルバー	#c9caca
タン	#bf783e
ホワイトリリー	#f0f6da
チョークブルー	#68a9cf
ルビー	#c70067
パールグレイ	#c9c9c4
シャンパン	#e9dacb
アスパラガスグリーン	#dbebc4
ピジョンブルー	#88b5d3
クラレット	#941f57
サンドグレイ	#c9c9c2
ピーチ	#fbd8b5
シトロングリーン	#618e34
スモークブルー	#a4c1d7
アザレ	#d83473
マーブルグレイ	#c0c5c2
カフェオレ	#946c45
メドウグリーン	#65ab31
フロスティブルー	#bbdbf3
コスモス	#dc6b9a
オパールグレイ	#bfbec5
オレンジ	#ee7800
アップルグリーン	#a7d28d
ブルーアシード	#006eb0
ロータスピンク	#de82a7
フレンチグレイ	#8da0b6
アプリコット	#f7b977
アイビーグリーン	#578a3d
コバルトブルー	#0068b7
オールドオーキッド	#e3adc1
ミスト	#b4aeb1
アンバー	#c2894b
スピナッチグリーン	#417038
サファイアブルー	#0068b7
ローズミスト	#debecc
アッシュブロンド	#b5b5ae
ブロンズ	#ac6b25
カクタス	#387d39
スペクトラムブルー	#0075c2
ローズドラジェ	#e5c1cd
フォッグ	#abb1b5
ヴァニラ	#e8c59c
スカイグリーン	#bee0c2
ブルー	#0075c2
チェリーピンク	#eb6ea0
ベージュグレイ	#b4ada9
コルク	#c49a6a
スペアミント	#79c06e
ゼニスブルー	#4496d3
オペラ	#e95388
シルバーグレイ	#afafb0
バーントアンバー	#6f5436
ミントグリーン	#89c997
ヘブンリーブルー	#68a4d9
ローズレッド	#ea618e
ストームグレイ	#aaaab0
ローアンバー	#866629
パロットグリーン	#37a34a
オーキッドグレイ	#bcc7d7
オールドライラック	#b0778c
グリーンフォッグ	#abb1ad
フレッシュ	#fad09e
サマーグリーン	#009944
パウダーブルー	#bccddb
ココア色	#6e4a55
アッシュグレイ	#9fa09e
ゴールデンイエロー	#f6ae54
オパールグリーン	#bee0ce
ライトブルー	#b2cbe4
ワインレッド	#b33e5c
ローズグレイ	#9d8e87
マンダリンオレンジ	#f3981d
スプレイグリーン	#a4d5bd
ベイビーブルー	#a2c2e6
ガーネット	#942343
エレファントスキン	#9f9f98
マリーゴールド	#f39800
ボトルグリーン	#004d25
デイドリーム	#a3b9e0
コチニールレッド	#c82c55
バトルシップグレイ	#898989
エクルベージュ	#f6e5cc
コバルトグリーン	#3cb37a
サルビアブルー	#94adda
ストロベリー	#e73562
ストーングレイ	#898880
オイスター	#eae1cf
エバーグリーン	#00984f
ヒヤシンスブルー	#7a99cf
ルビーレッド	#e73562
モスグレイ	#7e837f
オーカー	#ba8b40
マラカイトグリーン	#009854
ヒヤシンス	#6c9bd2
カーマイン	#d70035
ダブグレイ	#7d7b83
カーキー	#c5a05a
グリーン	#00a960
ミッドナイトブルー	#001e43
シグナルレッド	#e8383d
グレイ	#7d7d7d
バフ	#caac71
エメラルドグリーン	#00a968
ネービーブルー	#202f55
バーガンディー	#6c2735
スチールグレイ	#736d71
サフランイエロー	#fac559
フォレストグリーン	#288c66
プルシャンブルー	#192f60
ボルドー	#6c272d
アイビーグレイ	#666c67
パンプキン	#e5a323
ビリジアン	#00885a
アイアンブルー	#192f60
カメリア	#da536e
スレートグレイ	#626063
イエローオーカー	#c4972f
ホーリーグリーン	#006948
インディゴ	#043c78
ローズ	#e95464
グラファイト	#594e52
ブロンド	#f2d58a
ビリヤードグリーン	#005c42
インクブルー	#003f8e
ローズピンク	#f19ca7
チャコールグレイ	#4e454a
ベージュ	#eedcb3
クロムグリーン	#00533f
オリエンタルブルー	#26499d
ピンク	#f5b2b2
トープ	#504946
ビスケット	#ead7a4
アンティークグリーン	#54917f
ウルトラマリンブルー	#4753a2
フラミンゴピンク	#f5b2ac
ランプブラック	#24140e
レグホーン	#ffe9a9
ウォーターグリーン	#a5c9c1
ウルトラマリン	#434da2
オールドローズ	#e29399
ブラック		#000000
銀座線オレンジ	#f39700
丸の内線レッド	#e60012
日比谷線シルバー	#9caeb7
東西線スカイ	#00a7db
千代田線グリーン	#009944
有楽町線ゴールド	#d7c447
半蔵門線パープル	#9b7cb6
南北線エメラルド	#00ada9
副都心線ブラウン	#bb641d
浅草線ローズ	#e85298
三田線ブルー	#0079c2
新宿線リーフ	#6cbb5a
大江戸線ルビー	#b6007a
御堂筋線臙脂	#e5171f
谷町線京紫	#522886
四つ橋線縹	#0078ba
中央線緑	#019a66
千日前線紅梅	#e44d93
堺筋線マルーン	#814721
長堀鶴見緑地線萌黄	#a9cc51
今里筋線柑子	#ee7b1a
南港ポートタウン線セルリアンブルー	#00a0de
